"CTYNAME","pop2021","GrowthRate","popDensity"
"Los Angeles County","9969510","1.4889","13488.8513"
"San Diego County","3347270","7.8648","4528.8913"
"Orange County","3175130","5.3052","4295.9841"
"Riverside County","2520060","14.4660","3409.6675"
"San Bernardino County","2206750","8.1290","2985.7558"
"Santa Clara County","1918880","7.4377","2596.2647"
"Alameda County","1680480","11.0701","2273.7070"
"Sacramento County","1578680","11.0667","2135.9706"
"Contra Costa County","1159540","10.1659","1568.8697"
"Fresno County","1013400","8.7294","1371.1408"
"Kern County","913090","8.5725","1235.4203"
"San Francisco County","883255","9.6523","1195.0533"
"Ventura County","841734","2.0164","1138.8749"
"San Joaquin County","781462","13.7289","1057.3263"
"San Mateo County","762357","5.9272","1031.4770"
"Stanislaus County","555728","7.8780","751.9058"
"Sonoma County","485722","0.1995","657.1869"
"Tulare County","469407","5.9684","635.1126"
"Solano County","451479","9.0616","610.8558"
"Santa Barbara County","447937","5.5880","606.0634"
"Monterey County","434283","4.3014","587.5894"
"Placer County","410327","17.2293","555.1767"
"Merced County","284738","10.9134","385.2535"
"San Luis Obispo County","282625","4.7527","382.3946"
"Santa Cruz County","271957","3.3479","367.9607"
"Marin County","257154","1.6805","347.9321"
"Yolo County","221264","10.0416","299.3725"
"El Dorado County","197037","8.7785","266.5931"
"Butte County","196880","-10.4883","266.3807"
"Shasta County","180822","2.0014","244.6541"
"Imperial County","180599","3.3672","244.3523"
"Madera County","158217","4.7892","214.0693"
"Kings County","156056","2.4191","211.1454"
"Napa County","135654","-0.8080","183.5413"
"Humboldt County","134186","-0.6096","181.5551"
"Nevada County","100249","1.4769","135.6379"
"Sutter County","98217","3.6580","132.8886"
"Mendocino County","85445","-2.6811","115.6080"
"Yuba County","80890","11.8068","109.4450"
"Tehama County","67216","5.7537","90.9440"
"San Benito County","65490","17.9660","88.6087"
"Lake County","64524","-0.3259","87.3016"
"Tuolumne County","54660","-0.9603","73.9556"
"Calaveras County","46319","1.8716","62.6701"
"Siskiyou County","43517","-3.1621","58.8790"
"Amador County","40446","6.7571","54.7239"
"Lassen County","30483","-12.4831","41.2438"
"Glenn County","29245","3.9748","39.5688"
"Del Norte County","27956","-2.1354","37.8248"
"Colusa County","21805","1.7167","29.5024"
"Plumas County","18939","-4.8961","25.6247"
"Inyo County","18225","-1.5450","24.6586"
"Mariposa County","16799","-8.0867","22.7292"
"Mono County","14526","1.8868","19.6538"
"Trinity County","11721","-14.7874","15.8586"
"Modoc County","8923","-7.9534","12.0729"
"Sierra County","3021","-6.1801","4.0874"
"Alpine County","1209","4.1344","1.6358"
